Date Home Team                    Home Score Away Team                    Away Score A1                         A2                         A3                         A4                         A5                         A6                         A7                         A8                         A9                         HP                         H1                         H2                         H3                         H4                         H5                         H6                         H7                         H8                         H9                         AP                         
1001 washington nationals         4          milwaukee brewers            3          trent grisham              yasmani grandal            mike moustakas             keston hiura               ryan braun                 eric thames                lorenzo cain               orlando arcia              brandon woodruff           max scherzer               trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           kurt suzuki                victor robles              max scherzer               brandon woodruff           
1002 oakland athletics            1          tampa bay rays               5          yandy diaz                 tommy pham                 austin meadows             travis d'arnaud            matt duffy                 avisail garcia             willy adames               kevin kiermaier            mike brosseau              sean manaea                marcus semien              ramon laureano             matt chapman               matt olson                 mark canha                 jurickson profar           khris davis                robbie grossman            sean murphy                charlie morton             
1003 atlanta braves               6          st. louis cardinals          7          dexter fowler              tommy edman                paul goldschmidt           marcell ozuna              yadier molina              paul dejong                kolten wong                harrison bader             miles mikolas              dallas keuchel             ronald acuna               ozzie albies               freddie freeman            josh donaldson             nick markakis              matthew joyce              brian mccann               dansby swanson             dallas keuchel             miles mikolas              
1003 los angeles dodgers          6          washington nationals         0          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             asdrubal cabrera           victor robles              yan gomes                  patrick corbin             walker buehler             a.j. pollock               david freese               justin turner              cody bellinger             chris taylor               max muncy                  corey seager               will smith                 walker buehler             patrick corbin             
1004 houston astros               6          tampa bay rays               2          austin meadows             tommy pham                 ji-man choi                yandy diaz                 brandon lowe               travis d'arnaud            joey wendle                kevin kiermaier            willy adames               justin verlander           george springer            jose altuve                michael brantley           alex bregman               yordan alvarez             yuli gurriel               carlos correa              robinson chirinos          josh reddick               tyler glasnow              
1004 new york yankees             10         minnesota twins              4          mitch garver               jorge polanco              nelson cruz                eddie rosario              miguel sano                max kepler                 marwin gonzalez            c.j. cron                  luis arraez                james paxton               dj lemahieu                aaron judge                brett gardner              edwin encarnacion          giancarlo stanton          gleyber torres             gary sanchez               didi gregorius             gio urshela                jose berrios               
1004 atlanta braves               3          st. louis cardinals          0          dexter fowler              tommy edman                paul goldschmidt           marcell ozuna              yadier molina              kolten wong                paul dejong                harrison bader             jack flaherty              mike foltynewicz           ronald acuna               ozzie albies               freddie freeman            josh donaldson             nick markakis              matthew joyce              brian mccann               dansby swanson             mike foltynewicz           jack flaherty              
1004 los angeles dodgers          2          washington nationals         4          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             kurt suzuki                victor robles              stephen strasburg          clayton kershaw            joc pederson               justin turner              a.j. pollock               cody bellinger             max muncy                  will smith                 corey seager               gavin lux                  clayton kershaw            stephen strasburg          
1005 houston astros               3          tampa bay rays               1          yandy diaz                 austin meadows             tommy pham                 ji-man choi                avisail garcia             brandon lowe               travis d'arnaud            kevin kiermaier            willy adames               gerrit cole                george springer            jose altuve                michael brantley           alex bregman               yordan alvarez             yuli gurriel               carlos correa              kyle tucker                martin maldonado           blake snell                
1005 new york yankees             8          minnesota twins              2          max kepler                 jorge polanco              nelson cruz                eddie rosario              mitch garver               luis arraez                miguel sano                marwin gonzalez            jake cave                  masahiro tanaka            dj lemahieu                aaron judge                brett gardner              edwin encarnacion          giancarlo stanton          gleyber torres             gary sanchez               didi gregorius             gio urshela                randy dobnak               
1006 washington nationals         4          los angeles dodgers          10         joc pederson               max muncy                  justin turner              cody bellinger             corey seager               a.j. pollock               gavin lux                  russell martin             hyun-jin ryu               anibal sanchez             trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             kurt suzuki                brian dozier               michael taylor             anibal sanchez             hyun-jin ryu               
1006 st. louis cardinals          1          atlanta braves               3          ronald acuna               ozzie albies               freddie freeman            josh donaldson             nick markakis              matthew joyce              brian mccann               dansby swanson             mike soroka                adam wainwright            dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                adam wainwright            mike soroka                
1007 minnesota twins              1          new york yankees             5          dj lemahieu                aaron judge                brett gardner              edwin encarnacion          giancarlo stanton          gleyber torres             gary sanchez               didi gregorius             gio urshela                jake odorizzi              max kepler                 jorge polanco              nelson cruz                eddie rosario              mitch garver               luis arraez                miguel sano                marwin gonzalez            jake cave                  luis severino              
1007 tampa bay rays               10         houston astros               3          george springer            jose altuve                michael brantley           alex bregman               yordan alvarez             yuli gurriel               carlos correa              robinson chirinos          josh reddick               charlie morton             yandy diaz                 austin meadows             tommy pham                 ji-man choi                avisail garcia             brandon lowe               travis d'arnaud            kevin kiermaier            willy adames               zack greinke               
1007 washington nationals         6          los angeles dodgers          1          joc pederson               max muncy                  justin turner              cody bellinger             corey seager               matt beaty                 gavin lux                  will smith                 rich hill                  max scherzer               trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             kurt suzuki                michael taylor             max scherzer               rich hill                  
1007 st. louis cardinals          5          atlanta braves               4          ronald acuna               ozzie albies               freddie freeman            josh donaldson             nick markakis              matthew joyce              brian mccann               dansby swanson             dallas keuchel             dakota hudson              dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                dakota hudson              dallas keuchel             
1008 tampa bay rays               4          houston astros               1          george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              josh reddick               robinson chirinos          diego castillo             austin meadows             tommy pham                 ji-man choi                avisail garcia             brandon lowe               travis d'arnaud            joey wendle                kevin kiermaier            willy adames               justin verlander           
1009 atlanta braves               1          st. louis cardinals          13         dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                jack flaherty              mike foltynewicz           ronald acuna               ozzie albies               freddie freeman            josh donaldson             nick markakis              adam duvall                brian mccann               dansby swanson             mike foltynewicz           jack flaherty              
1009 los angeles dodgers          3          washington nationals         7          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             kurt suzuki                michael taylor             stephen strasburg          walker buehler             joc pederson               max muncy                  justin turner              cody bellinger             matt beaty                 corey seager               enrique hernandez          will smith                 walker buehler             stephen strasburg          
1010 houston astros               6          tampa bay rays               1          austin meadows             tommy pham                 ji-man choi                travis d'arnaud            eric sogard                avisail garcia             joey wendle                kevin kiermaier            willy adames               gerrit cole                george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              josh reddick               martin maldonado           tyler glasnow              
1011 st. louis cardinals          0          washington nationals         2          trea turner                adam eaton                 anthony rendon             juan soto                  howie kendrick             ryan zimmerman             michael taylor             yan gomes                  anibal sanchez             miles mikolas              dexter fowler              kolten wong                paul goldschmidt           marcell ozuna              yadier molina              matt carpenter             tommy edman                paul dejong                miles mikolas              anibal sanchez             
1012 houston astros               0          new york yankees             7          dj lemahieu                aaron judge                gleyber torres             edwin encarnacion          giancarlo stanton          brett gardner              gary sanchez               gio urshela                didi gregorius             zack greinke               george springer            michael brantley           jose altuve                alex bregman               yordan alvarez             yuli gurriel               carlos correa              kyle tucker                robinson chirinos          masahiro tanaka            
